Nombre,Equipo,Posición,Altura,Lugar de nacimiento,Fecha de nacimiento,Nacionalidad,Temporada,Número de partidos,Total minutos jugados,Número de partidos en alineación inicial,Total puntos,Máximo de puntos,Tiros de 3 puntos anotados,Tiros de 3 puntos intentados,Porcentaje de acierto tiros de 3 puntos,Tiros de 2 puntos anotados,Tiros de 2 puntos intentados,Porcentaje de acierto tiros de 2 puntos,Tiros libres anotados,Tiros libres intentados,Porcentaje de acierto tiros libres,Número de rebotes ofensivos,Número de rebotes defensivos,Total rebotes,Total asistencias,Número de balones perdidos,Número de balones recuperados,Número de tapones realizados,Numero de tapones recibidos,Número de mates,Número de faltas realizadas,Número de faltas recibidas,+/-,Valoración,Partidos ganados,Partidos perdidos
Fabien  Causeur ,Caja Laboral,Alero,"1,96 m","Brest, Francia",16/06/1987 (35 años),Francia,12-13,35,722,21,315,22,28,87,"32,2%",86,148,"58,1%",59,78,"75,6%",22,51,73,47,31,44,1,13,2,71,98,61,297,25,10
Fabien  Causeur ,Laboral Kutxa Baskonia,Alero,"1,96 m","Brest, Francia",16/06/1987 (35 años),Francia,13-14,29,715,21,255,17,22,60,"36,7%",69,115,"60,0%",51,64,"79,7%",23,64,87,35,25,40,7,3,1,66,68,86,271,15,14
Fabien  Causeur ,Laboral Kutxa Baskonia,Alero,"1,96 m","Brest, Francia",16/06/1987 (35 años),Francia,14-15,37,957,32,355,25,37,92,"40,2%",88,149,"59,1%",68,92,"73,9%",13,96,109,88,51,50,6,12,1,74,130,155,463,20,17
Fabien  Causeur ,Laboral Kutxa Baskonia,Alero,"1,96 m","Brest, Francia",16/06/1987 (35 años),Francia,15-16,24,635,24,215,21,30,86,"34,9%",39,80,"48,8%",47,66,"71,2%",13,49,62,63,35,34,3,4,0,58,77,189,243,18,6
Fabien  Causeur ,Real Madrid,Alero,"1,96 m","Brest, Francia",16/06/1987 (35 años),Francia,17-18,38,677,24,277,21,32,71,"45,1%",72,120,"60,0%",37,48,"77,1%",12,59,71,56,21,36,4,8,0,54,57,185,290,33,5
Fabien  Causeur ,Real Madrid,Alero,"1,96 m","Brest, Francia",16/06/1987 (35 años),Francia,18-19,40,611,17,289,20,31,80,"38,8%",81,135,"60,0%",34,45,"75,6%",18,36,54,48,22,38,2,11,0,37,57,164,272,33,7
Fabien  Causeur ,Real Madrid,Alero,"1,96 m","Brest, Francia",16/06/1987 (35 años),Francia,19-20,26,386,9,161,18,14,51,"27,5%",45,77,"58,4%",29,38,"76,3%",8,27,35,35,15,21,1,10,1,28,41,68,151,20,6
Fabien  Causeur ,Real Madrid,Alero,"1,96 m","Brest, Francia",16/06/1987 (35 años),Francia,20-21,34,700,15,354,25,61,134,"45,5%",61,113,"54,0%",49,65,"75,4%",12,55,67,51,29,41,5,8,1,50,78,87,344,29,5
Fabien  Causeur ,Real Madrid,Alero,"1,96 m","Brest, Francia",16/06/1987 (35 años),Francia,21-22,36,700,24,280,19,41,121,"33,9%",60,113,"53,1%",37,45,"82,2%",18,61,79,39,34,37,2,11,1,58,56,81,243,29,7
Fabien  Causeur ,Real Madrid,Alero,"1,96 m","Brest, Francia",16/06/1987 (35 años),Francia,22-23,25,444,10,184,22,29,82,"35,4%",37,75,"49,3%",23,33,"69,7%",5,36,41,31,23,27,3,8,0,41,37,116,142,20,5
Anthony Erwin Randolph ,Real Madrid,Ala-pívot,"2,11 m","Würzburg, Alemania",15/07/1989 (33 años),Eslovenia,16-17,37,721,25,294,18,31,102,"30,4%",80,150,"53,3%",41,63,"65,1%",32,111,143,31,29,36,41,3,19,69,77,103,344,26,11
Anthony Erwin Randolph ,Real Madrid,Ala-pívot,"2,11 m","Würzburg, Alemania",15/07/1989 (33 años),Eslovenia,17-18,25,474,14,217,26,20,61,"32,8%",60,119,"50,4%",37,48,"77,1%",19,97,116,16,14,25,11,6,14,45,43,50,230,20,5
Anthony Erwin Randolph ,Real Madrid,Ala-pívot,"2,11 m","Würzburg, Alemania",15/07/1989 (33 años),Eslovenia,18-19,35,691,31,340,24,54,124,"43,5%",75,141,"53,2%",28,41,"68,3%",18,115,133,21,21,39,11,4,19,47,70,196,357,30,5
Anthony Erwin Randolph ,Real Madrid,Ala-pívot,"2,11 m","Würzburg, Alemania",15/07/1989 (33 años),Eslovenia,19-20,20,364,14,165,22,33,80,"41,3%",17,42,"40,5%",32,39,"82,1%",6,54,60,10,12,24,6,3,1,33,37,82,151,15,5
Anthony Erwin Randolph ,Real Madrid,Ala-pívot,"2,11 m","Würzburg, Alemania",15/07/1989 (33 años),Eslovenia,20-21,5,86,4,26,9,5,15,"33,3%",4,13,"30,8%",3,3,"100,0%",3,15,18,4,3,6,1,1,0,8,5,29,23,5,0
Anthony Erwin Randolph ,Real Madrid,Ala-pívot,"2,11 m","Würzburg, Alemania",15/07/1989 (33 años),Eslovenia,21-22,25,287,2,123,14,22,63,"34,9%",21,40,"52,5%",15,17,"88,2%",14,41,55,4,7,11,10,2,2,28,21,9,117,18,7
